Gene1	Gene2
P35659	Q13868
Q01813	P42166
Q01844	Q9NZJ7
P19022	Q9UMX5
O75439	P15927
Q9NQR4	P52815
P05141	P82930
Q12905	Q96NB2
P48382	Q9GZT3
P48147	P26639
P21912	P19404
P08174	Q9Y3E5
P63241	Q9P0L0
Q8IVS2	Q13813
Q14204	P36776
Q14103	Q8TAD4
P50225	P63165
Q96L21	P62917
O75380	P25398
P62979	Q12962
Q14671	P22234
P46108	P31939
P04818	P21283
P04818	P36543
Q6P2Q9	P62263
P52272	P62857
P52272	P43307
P14927	P24752
P49459	Q9H0D6
Q04941	Q8TCJ2
Q16643	P14923
Q92499	Q5VSL9
P31040	P19404
P11279	Q93096
O14880	Q9BYN8
Q99426	P13693
Q13619	Q9Y2Z0
P54727	Q15819
O60506	O00161
P50454	P67936
Q9Y3A5	O95155
O00625	Q9Y2Z0
Q9BVI4	Q9BUI4
P30041	Q5JRX3
O60664	P61586
P11142	Q04837
Q92499	Q99575
P38919	Q13151
P62081	P62314
Q08170	Q96S55
O94906	Q13595
Q9UQ53	P47985
P62266	P82912
P25490	Q14966
Q9UK76	O75439
Q9BV86	Q8N6R0
P40939	O60568
A0FGR8	O43808
Q2VIR3	P46782
O75844	P82675
Q13636	O15400
Q15637	Q01995
P0C7P4	O75152
O95155	O95218
O95182	P62857
Q14318	Q02127
O14880	P21283
P15924	P17252
P51668	O95071
O60832	Q9NW13
Q99848	O00422
P20618	Q15459
O60828	P52758
Q9P258	Q13243
P78527	Q15029
Q12906	P35580
Q8WVJ2	P49023
P51553	O14974
Q9BWM7	Q15388
P49736	O75533
Q9BZI7	O43290
P09661	Q12789
P31040	P60842
P31040	P12956
Q96PK6	Q15287
P62847	Q71UM5
P62333	P61960
Q15819	P61960
O60563	O00193
Q8NBS9	Q04323
P52272	P62851
O14979	Q9Y3D3
O00425	Q9Y5T5
P08107	Q9UJZ1
Q96L21	P39023
P29692	Q96RQ3
P82909	P08621
Q92887	Q9Y3E5
P00403	O00217
Q96AE4	Q15365
P55055	Q53EL6
P12236	P27635
P08579	Q13309
Q14011	P35269
Q9UHA4	O95168
Q15067	P52815
P50416	O96008
P54727	Q9UNE7
Q02880	O75643
P48643	P55072
Q15811	O75792
Q16643	P42892
P21912	P82664
Q08211	P04004
O15131	Q14974
P31040	Q5VT66
P78318	Q96G74
P78318	P30086
Q9NQR4	P50897
Q7Z478	O94762
Q58FG0	Q07020
Q9NUL7	Q5T653
Q96QV6	P08865
Q86XP3	O14776
P78318	Q6YHU6
P07814	P22314
Q8TF74	Q96NB3
Q86VN1	Q9UHR6
P07900	P29966
Q12996	P04406
Q9HCE1	P62899
P42892	Q96AY3
Q92887	Q8TAD4
P26368	Q6NZY4
Q12906	Q96TC7
Q12906	Q04837
P49321	P31948
Q7L2E3	Q12906
Q12906	Q96AG4
Q969X5	Q9Y3B7
Q969X5	Q9BYC8
Q05519	Q9Y2W1
Q8WVJ2	Q8TEM1
O43819	P27105
Q99547	O43395
Q9BY32	Q04760
P09525	P25325
Q9UHA4	P62269
Q15459	O94842
P14625	P12004
Q96FQ6	P25325
P28288	P57105
Q9Y3B4	P61011
O75533	O15164
Q9NRK6	Q9BQ95
P31942	Q04837
O75533	P18583
Q15393	Q9UJZ1
P34931	P35658
P22307	O43819
Q12857	P49756
P49756	Q99986
P04406	P14618
P11021	P17066
Q04721	P22061
P09234	P82979
P25205	A2A3N6
Q00839	O75127
Q96DM3	P43487
P62820	P62491
Q8N1G4	Q14CB8
P33316	Q6P1L8
Q00839	Q9H9J2
Q00839	Q96GC5
Q9P0V9	Q99719
P07954	Q9Y617
Q9NYT0	O15357
O43175	Q2TAY7
P29558	O15400
O15031	O75410
Q96ST3	Q6ZVM7
Q9C0B0	O75436
O60763	P98170
Q8IWV7	O14980
P51398	Q96TA2
P29558	O75152
P55809	Q9Y5J7
Q8IWZ8	P21796
Q969X5	P47985
P67775	P62333
P05387	P52815
P63244	P61513
Q9UKV3	Q14137
P24752	O43615
P32119	Q9Y6Y8
Q9UHD8	O95292
P25705	Q07020
Q13435	O94842
Q14247	P11441
P30044	Q9BRT9
Q99459	P34931
P02545	Q15393
Q9Y3B4	Q9Y2W1
P52815	P15880
O43633	O75477
Q99707	Q99747
P78527	P26368
Q16795	O60313
P61020	O75351
P08865	P45880
Q9NX18	Q03405
Q96PK6	Q9Y5S9
Q9NRG0	Q6PI98
Q3LXA3	P13929
Q14203	Q14315
P07741	P11172
P51668	Q16831
P35658	O75351
O43143	P22087
O14979	P51991
P62314	P37108
P39210	P03886
Q8NHW5	P05388
Q12906	Q8WWI1
Q12874	P50552
P50416	P21283
Q15427	P27105
P25789	P67809
P56385	P63220
Q8N4V1	Q9UI09
P04843	Q7KZF4
Q9UFG5	P33316
P20290	P47914
Q5XKP0	Q96A35
Q9NQR4	O00584
O76021	Q15050
P28066	Q96A49
Q8N5N7	Q53S58
P29401	Q9Y3C8
Q15233	O75152
Q00839	Q86VM9
Q13492	P36543
P08107	Q15233
P61758	P47897
Q9UHA4	Q9UBV8
P50416	P61586
O14907	P63027
Q9NQC8	Q13099
P07237	O43396
Q96FV9	P09493
P04818	Q5MNZ6
Q13561	P08238
Q9H0U4	P62491
Q9Y696	P09651
P27708	Q8TAQ2
Q6P2Q9	P06702
P78371	Q13263
Q9Y5K5	Q9HAV4
Q04721	P20618
P17980	Q7Z3T8
O75396	O95292
Q9Y237	O60216
P27708	P23396
P63027	Q8TAD4
Q13765	P11498
P78316	Q6ZW49
Q9BQ15	Q04837
P49591	P26639
P25705	O75955
P39210	Q96DV4
P25786	O75368
P12235	P31930
Q12906	Q13492
P09661	P27105
P68104	Q9BWF3
Q9UHA4	Q15005
Q8N684	P07951
Q06830	O43598
Q6PJT7	O43670
Q00839	Q14197
P51991	Q9BYN8
P30044	P25398
Q8N4Q1	Q8IXI1
O14964	Q9HD47
Q9Y3D2	Q15843
Q8N4Q1	P56589
Q92542	Q13636
Q8N4Q1	Q96L21
Q14197	Q9BYD3
Q9UHA4	Q9HD33
Q02878	Q8IY81
Q8N183	P62847
Q8N183	P62854
P08174	P60903
Q96L21	P60903
Q9H2T7	Q8N9R8
Q9UBK7	Q9H2G2
Q9NUU7	Q01082
Q6P1L8	Q9Y5M8
Q9H2T7	Q8IUR0
P52888	Q8N584
Q9BRA2	P61086
P61088	Q92890
O00762	Q9C0B0
Q9UJA5	Q96QK1
Q9BXK1	Q9Y6W5
Q13123	Q9BV38
Q9Y546	Q6PJT7
Q16629	O95218
P15374	O95218
P15924	Q9NZ01
P83369	Q13472
P22234	Q9BRT9
P49721	P07437
O75955	P33527
Q04941	Q9UP95
P78318	Q15084
O60271	Q92597
P39210	O75251
Q99848	Q9UBU9
P06702	P26368
P15374	Q16864
P32119	P30041
P22061	P15374
Q12906	Q8NHW5
O95831	Q16762
P32119	P38606
P46020	Q08AM6
P61978	P34932
P22307	Q8IWZ8
P60842	P38606
P07910	Q9NQ50
P07954	P36551
O43678	Q9Y237
O95573	O60488
Q13123	Q13595
Q14011	Q99567
P38159	Q9UBU9
P62258	Q13185
P04406	P18669
P14618	P29401
P18669	P04818
Q9BTM9	O14980
Q14197	Q7Z7H8
Q9BYC5	O43808
P52824	P15311
P50750	Q9UPS6
Q9UBI6	P62834
O00161	P07947
P07602	Q01081
P54727	P63220
P04179	Q9BQ15
Q08211	P33176
P17980	Q9Y265
Q9NU22	P09132
Q06830	Q96KR1
Q9BYN0	Q15654
Q96RN5	P53992
Q14165	P62249
O14745	Q9UHG3
P12429	P09525
P35659	O43143
Q99613	Q8TAE8
Q58FG0	P07900
Q01844	Q16718
Q99460	Q9NTZ6
O75955	Q92665
P14923	Q96H78
Q8IXT5	Q15459
P49721	O00193
Q86W50	P54577
O75955	Q9BQE3
Q8N5M4	Q13404
P31949	Q969M7
O95801	Q16763
O75844	P21796
Q8N5M4	O75351
Q86UV5	Q7Z2W4
O95801	Q96JM3
O00625	P49721
Q00577	P40938
Q9BWJ5	Q99986
P62829	P82912
Q9BYG3	P15880
P04083	P09525
Q93008	P46937
P28066	Q15459
Q08J23	P49588
Q96FQ6	Q04323
Q14914	P38606
Q8IVS2	P34896
P62314	Q9Y5B9
Q00839	P16144
P54819	P52815
P19022	Q9NP81
Q14498	P04004
Q9BRR8	Q14498
P22102	P23381
Q15046	P50990
Q15233	Q8IXM3
O95400	Q15819
Q15654	P61960
Q96PK6	P18754
Q96FQ6	P49755
P42704	P82673
Q07955	Q9BYV6
Q71UM5	P15880
P61201	Q9P270
P21127	P49756
Q9UQ35	Q9BRP8
P11021	P51149
Q8TBC4	P18206
Q9H3S7	O14965
P36404	P99999
P36543	Q8TAD4
Q12906	Q969V3
Q9Y6M9	Q8WXH0
Q9UQ53	P50443
P60981	Q9Y508
P20674	P61006
Q86XP3	Q9BVI0
P60981	Q15811
P60981	Q93045
Q86VX2	Q9P000
Q6ZMR3	P40926
Q5SSJ5	Q12857
Q5SSJ5	Q9UBU9
P07237	P13667
A6NHG4	P67775
Q9UHA4	P79522
Q9BQ61	Q9Y3U8
Q5SSJ5	Q8IY81
Q00325	Q9NP92
O43865	Q9Y617
O43865	Q07955
O43865	P63208
Q15293	O00193
O43865	Q9UMY4
O43865	P42226
P17844	P17600
P84103	P31483
Q9UBT2	Q04726
Q5SSJ5	Q13641
P41223	P12270
Q5SSJ5	Q13595
Q9UBT2	Q8N5M4
O43865	Q04323
Q93009	Q5VIR6
Q9BZV1	Q9UGR2
Q16630	Q8NAP8
O95232	P18754
Q07955	Q9UI30
Q14204	P26368
Q14197	P52815
P23246	Q08170
P51553	O43615
Q86V81	Q15645
Q16531	Q96S59
Q13838	Q9H267
P08758	Q14671
P29401	Q9Y277
Q14444	Q14011
Q16630	P48729
O75380	P11233
P20618	P46777
P25705	P04844
P49915	P23526
Q14203	Q96RQ3
P61978	P62081
P60981	Q01130
P62736	O00159
Q12906	Q14498
P21333	Q9UQ35
P13639	P29317
O43290	Q96SB4
Q96HA7	Q9Y6X3
O75027	Q9Y5K8
O60506	P08621
P08243	P41250
P30837	P14927
P34931	P17066
O75396	Q9P0T7
Q16630	Q15424
O14949	Q04837
Q9H9B4	Q9P0U1
P53778	Q9Y6N7
O75794	P06753
P06702	O15260
P62913	O60524
P15924	P61020
Q00325	P27635
P24534	P04908
P17844	P60866
Q96EB6	P52655
Q00839	P18031
P24534	P35269
Q08211	O94826
P02792	Q58FF7
Q9NXV6	P07099
Q99848	P56537
Q6ICL3	P54317
P05976	Q9UBT2
Q6ICL3	O43819
Q9UNZ2	O75368
P19447	Q8N196
Q9P2N5	Q9Y4P3
Q8IYD1	P78371
Q15029	Q969S3
O75794	O75312
Q99848	Q9UI10
P28331	P61020
P43307	P17987
Q96RU2	Q6NZY4
Q96CN9	P13995
P43307	P48643
O75369	P52272
P35908	P04264
P21333	Q05519
O14672	Q8NH73
P39210	P62841
Q8NI27	P09493
P54727	P61960
Q92887	P14923
Q9P0L0	Q13488
P82979	Q9ULW0
O43390	Q7KZF4
P17661	P08621
Q16630	P61244
Q92887	Q15388
P35998	P27708
P09622	Q16795
P21912	Q15363
P61960	P21796
P23246	P10599
P04181	P10619
Q00325	O95169
P19022	Q9UMR5
Q15349	P16083
P02765	P53041
Q9Y5M8	Q13148
P23588	P49790
Q12906	P61106
O43390	O60264
Q13151	O75934
Q9UKK9	P15927
P54920	O75886
Q9NSD9	P40818
Q9NUL7	Q9BTV4
P35580	P11233
Q16611	Q9P0U1
O43390	Q8IYS2
P23588	Q9BWU0
P54105	P13797
Q9UKV3	Q96EY7
P56134	P82930
P78344	Q9GZT3
P07910	Q2TAY7
P55786	Q9Y3F4
P26599	Q53S58
Q8N5M4	Q14166
Q9Y490	Q9NUQ3
Q13242	A6NIH7
Q7Z2W7	Q14694
Q8N5M4	Q9NRR5
Q8N5M4	P15374
Q05086	Q92890
Q99614	P61960
Q8N5M4	Q96K21
Q8N5M4	O95218
Q6IBS0	Q86VN1
Q99733	P06748
Q7KZF4	Q9UNL2
P33527	Q16864
P54289	P62491
Q15599	P47914
Q99459	P62701
P49792	P62263
Q15599	Q9NQC3
Q9UIG0	O95983
Q15437	P84103
P11021	P35580
P60981	Q8NI22
O00422	P12270
Q9NR33	Q8WUM0
P30044	P54727
P51649	O96008
P35637	Q15233
O95232	P06702
P60981	P40855
Q9BQG0	Q92542
P04908	P55209
Q7Z6Z7	O60907
O43390	Q13148
P50897	Q13428
P12236	P62906
Q14126	O60664
P08174	P57105
P50454	P63146
P00966	Q14161
P31939	Q13148
P60981	Q9UJY1
P04075	P10809
Q9Y265	Q01130
O00233	P63279
Q13085	Q2NKX8
O75874	P00568
Q9H9B4	P10599
P09622	Q16540
Q10471	O75400
P09661	P07602
P50416	O43678
Q99618	Q02809
P54819	Q8IY67
Q9NUL7	Q15434
Q8WXF1	Q9H2T7
Q00796	P54725
Q8WYQ5	Q5VT52
P29350	Q5PRF9
Q9ULU4	P63272
Q15293	Q9BYN0
P06702	O60232
Q15293	P50225
Q8NHW5	P68363
O43865	Q9BUF5
Q00796	O75663
P06702	Q04726
P26447	Q6ZVM7
P54727	O94888
P26447	Q9C0B0
P06702	Q9C0B0
O14530	Q5VIR6
P45880	Q8N9F8
Q12905	Q96DV4
P49006	P38606
P49792	Q9BYV6
P62306	P37802
P17480	O95619
O75533	Q9Y5L4
O14979	P62081
Q9BUQ8	Q00577
P12429	O00161
Q15019	P84103
P55084	O60313
P55795	P50454
P23526	P35237
P60174	P18206
Q9NVA2	Q9BQ15
Q14247	Q96I99
Q15233	P31350
Q92547	Q00341
Q14203	Q96S59
Q8IZP0	O75794
Q06830	P30041
O43143	P61978
Q92804	Q14108
P50225	P15374
Q12906	P67936
Q9BVL2	O96008
Q00839	Q4U2R6
P11021	P05386
P54105	P40926
P14314	Q8TCS8
P11021	P60842
Q96PK6	Q8TAQ2
Q14240	Q13838
O43678	O75521
O15143	Q9BPX5
Q7L5D6	Q96KP1
Q7Z478	O15111
Q96IR7	P51608
Q15155	Q15149
P61006	Q15907
Q9UK45	P48382
P50914	Q9NQ39
Q9H009	P63220
P21912	P82675
O43175	Q07955
Q2TAY7	P10646
Q15155	P62072
Q13243	Q9UM00
Q9Y5M8	Q7Z7H5
Q14147	Q8IZ69
P18583	Q9UHP3
Q8NBS9	Q9H3U1
P23246	Q7Z2W4
P61960	O75312
P52272	Q9Y2W1
P38919	Q14739
P09661	Q8TAQ2
O00422	Q08945
Q8N4V1	O95169
P35268	Q8NHW5
Q9UHA4	Q9UL25
P62829	Q15050
P18583	P10646
Q9HCE1	Q9Y6N5
Q99497	P30044
P23193	Q9BSL1
Q15654	O95155
P09622	Q9BZE1
P35579	P11233
O95169	Q15526
Q9BTT6	Q15555
O95182	P63279
P11940	P21281
Q92499	Q92839
Q12905	P67936
O60506	P10515
P08195	P82933
Q16629	P18583
P07355	P62277
P33176	Q12792
O43390	P23246
Q13151	Q86W42
Q13185	Q9C0C2
Q8N4V1	O75431
Q5VT66	O95168
Q9BUE0	P78356
Q9UMX5	P14923
Q9UMX5	Q969G5
O94829	Q15269
Q12905	Q8WU10
Q9UMX5	P62910
P21912	Q9BYC9
Q9UMX5	O95758
P62750	Q9NQ39
P06454	Q01130
Q9BS40	O75368
Q9NX55	P49903
O43678	Q9Y4P3
P04179	Q9Y4P3
Q9BWD1	Q8N584
Q96GM8	Q9BRP8
P52888	O75191
Q8N5M4	P46937
P78549	Q7Z2W4
Q5T4S7	P37275
Q13769	Q8WXB4
P19022	Q9NSE4
Q9UKV3	Q9Y2W1
Q9Y4R8	P67936
Q15233	Q93050
Q14157	Q9P0L0
Q99439	Q15942
P63244	P15880
P09234	P04216
O96008	O14907
P30876	P68366
P25705	P11021
Q15428	P06753
P53992	P50454
Q99798	Q9UIJ7
P11021	Q14974
Q96PK6	Q8IYB3
P31040	Q9NX62
P07741	P49915
P08238	P21281
O43290	Q9Y5J7
P31040	P24752
Q9Y2X3	O43290
O14672	Q9Y3D2
O43660	Q9Y5K5
Q13200	P68036
O14979	Q07955
P41567	P41214
P30520	O43765
P22234	Q9UNE7
P22234	P63146
Q9HD42	Q9Y6K5
Q05519	P10646
Q9H8Y8	O43504
P49459	O94782
Q86UV5	Q96KR1
Q04721	Q07157
Q15059	O95619
Q15436	O60493
P08670	Q96AX1
Q15019	Q12789
Q8N4V1	Q92887
Q00839	P49257
O75955	Q12907
Q8TDW7	P00492
Q58FG1	P10644
Q9UKV3	Q99538
Q58FG1	P32969
Q13123	Q14151
P50402	Q2TAY7
P31689	Q13813
Q04837	P68363
P39019	Q9Y4P3
Q96EL3	Q01085
Q9NVA2	Q53S58
P11279	Q92544
O15118	Q9NYL9
P43686	Q9NYL9
P50225	Q9NYL9
P09110	Q8IUR0
Q9BVS4	Q2NL82
Q14166	P51668
Q9NP77	P62256
P52888	P62256
Q9H3U1	P61964
Q9NUU7	O14980
P50225	O95218
O75955	P62841
O60563	Q12888
Q00839	P12270
Q9NRK6	Q9Y2Q5
O00401	Q14966
Q9ULV4	P51149
Q9ULW0	Q12792
Q15067	P42126
P25786	Q01130
Q14683	O95347
Q9Y6I3	Q99717
P49257	Q15363
P34931	P00387
Q08211	Q9Y5J7
Q99873	Q9NZM5
P11021	Q13813
O43143	O75494
P08238	P62249
P62306	O75368
O43633	P62136
P07437	O14980
Q9BQ15	Q9Y5M8
Q14011	P42167
Q8TAT6	P49406
Q9Y6G9	Q16881
P60981	Q8WX93
P22061	Q9NX18
P35998	P50990
P43307	P21283
Q7Z6Z7	P46060
P23526	Q96EB6
P10599	Q9BZL1
Q9NR30	P20700
O43684	Q15019
Q96AE4	Q96G23
P11021	P62851
Q15021	P49790
Q14011	P55795
P11142	P62244
Q13526	P21281
Q96EA4	P49750
O75494	Q13428
Q01844	Q8IVS2
Q14677	Q6ZNB6
A6NK07	P55769
O75955	Q13636
Q06830	P54725
P52272	Q9Y3A4
P08574	Q96CM3
P54105	Q9UMY4
Q9H9J2	Q15005
P07602	P61956
Q9Y5X2	Q9BTF0
P55809	Q53S58
P04818	P61086
O14578	Q96RU2
Q9BQE3	P21281
Q7L014	Q8N5G0
P23284	O75152
Q9NYV4	Q8WXB4
Q9UBQ0	Q9UHR6
Q9H582	O95218
Q04637	Q12874
P30048	Q06323
Q16576	Q9BUR4
P11021	P14866
P08238	P62314
Q03426	Q00266
Q13404	P21281
P48643	O14980
Q12906	P62491
P98179	P09651
Q5VSL9	Q92945
P30044	O96008
P13639	O94905
P13639	Q9BWF3
A0AVT1	Q86UV5
P15374	P46937
Q9UHD9	Q03405
Q00325	Q7Z7H8
O43143	P38159
Q13151	Q99729
P39210	Q8NFJ5
P00441	Q01082
P30044	P63146
P49006	O60245
O00567	Q99575
Q92887	Q13488
P11021	P12956
Q96EY1	O75251
P25705	P34931
P33897	O95168
Q9Y5L4	Q9Y4P8
Q92616	Q27J81
P21912	Q3ZCQ8
Q9H0B6	Q15291
O95831	P36551
P12235	P15880
P60981	Q9UGP4
Q9UKY7	O75128
Q71UI9	P62805
O60271	Q9UMX5
Q15717	Q9NX40
Q9NY12	P62701
Q8WVJ2	Q9NP77
Q8TAE8	Q53S58
P00491	Q53S58
Q96FQ6	Q53S58
Q96EV2	Q15785
Q96NB2	O94826
Q6ZMI0	Q8NBS9
O96008	Q5T6F2
Q12905	Q5JSH3
P21281	Q96K21
Q9UBS4	P49821
P51649	Q01085
P04792	Q14671
P35658	P06703
Q9H9B4	P47985
Q92520	P11233
P11279	Q9NVU7
P22695	Q13243
Q12906	Q9H4L4
P33981	Q00341
Q3ZCQ8	Q9P0U1
P25325	O95292
P62937	O60493
Q9UKV3	Q12857
Q9H2P0	Q15019
P52272	Q15019
Q15637	Q96KR1
P50454	Q15654
P21281	Q00341
O95155	P15374
Q04323	P61960
O43678	Q8WXI9
Q13228	Q3ZAQ7
Q9BUJ2	P03886
P06576	P15880
P63220	P82921
O43143	Q14739
P49756	Q16181
P49748	O75964
Q92520	O75955
P53621	Q15436
Q00325	P03886
O00159	O00422
Q00839	O43808
Q99460	P53992
P11142	Q02543
Q15021	Q8TCS8
P17661	P55084
P60981	P49023
P49756	Q96EB6
Q70UQ0	O95139
P17661	Q99832
P29401	O60701
Q9P258	P08670
O00567	Q9H9Y6
Q15084	A4D2B8
Q9BVI4	P47914
O43583	Q86UT6
P19105	P14927
P46087	P62888
Q04941	Q8TCC3
O75955	Q8N5N7
P56537	P62244
Q9BYD3	P62269
Q04941	Q9BQC6
Q9H2P0	O43175
Q15233	Q8IX01
P17980	O95905
Q9Y247	Q9BSE5
Q9BYN0	O60232
O60232	P63165
P13797	Q9NWX6
Q9Y5M8	Q6PI78
Q13242	Q05086
Q9BYN0	O94888
P51553	P0C7P4
Q15019	Q6EMK4
Q9UJA5	P21281
P60903	Q00341
Q6I9Y2	Q8NI36
Q96PF2	Q8WU90
O75475	Q86VM9
Q13123	Q5BKZ1
Q6I9Y2	Q8WXB4
Q92542	Q15424
P78310	Q9UBQ7
P63146	P15313
P07900	P39023
P30041	P49755
Q96DI7	O60907
P62987	Q9Y277
P26641	P51991
P60981	P06702
P68104	Q9Y2W1
O94905	Q14254
Q15054	P25205
P54578	O14980
P40939	P26038
Q9NQC3	P42765
P42356	P12081
Q86XP3	P23352
Q08211	P23284
P49411	Q9NSE4
P54578	Q9UIA9
Q14204	P14866
Q92887	P03915
P20618	P62906
Q15637	Q9UPU3
Q92598	Q8NHW5
Q9NP97	Q15019
P54105	P28066
Q12906	Q9GZY8
P51668	P46937
Q92520	O14880
Q15393	Q9Y2W1
O95182	Q8WXI9
Q03405	O75717
P52597	P56589
P08107	P54652
Q00839	Q15019
P33176	Q9UHB9
P29558	Q9Y3A5
P63244	Q01085
P49588	Q9NSD9
O43395	Q9Y5B9
P42765	O96008
Q9Y512	Q9NS69
P38159	P08865
O60830	Q15388
Q99757	Q9NS69
P11021	P35579
P35579	P68366
P54105	P62987
P23526	P38606
Q9Y4Z0	Q6PFW1
Q15785	Q15942
Q92887	P79522
P32969	P82912
Q03164	P19338
Q6PJG2	Q96HC4
Q14152	P35579
P02792	O15514
P19022	Q9H009
Q14978	Q9Y3C1
Q00796	A6NEC2
Q9UHA4	Q5XKP0
Q9H7X7	Q96EV2
Q14152	Q9H2W6
Q32P51	P51991
O75955	P60903
P68104	O43175
P30041	A5PLL7
P31689	P62995
Q8IWZ8	Q8TAP9
Q01085	P62837
P30044	Q5T6F2
Q96FV9	Q92995
Q9UNM6	Q9H3U1
O14530	Q6PFW1
O43583	Q13426
Q9NW13	Q969S3
Q6I9Y2	O75312
Q15293	Q15942
P60900	P49368
Q14197	P36578
Q13895	P48730
Q13228	O95104
Q9NRX1	Q9UNX4
P34931	P82909
P22626	Q9Y5L4
P06576	P63241
P31943	Q96PK6
Q9Y4G6	Q6IBS0
P23246	P04004
P22626	Q13501
Q01581	P35080
Q9Y2X3	Q8NHW5
P31948	P16949
P22307	O75521
P39210	Q8WVM8
Q6P2Q9	Q16181
P61201	P49903
O96005	Q14197
O95400	Q96L91
P22087	Q08J23
O95486	Q9UNE7
Q00839	O95232
Q9UKV3	Q9Y5B9
Q00839	P45880
P61960	P46937
Q13123	P04004
Q00577	P35250
Q9NRS6	Q86VN1
P04818	O75351
P62249	Q99757
P27695	P23246
O14979	Q13492
P63220	Q15819
Q8IVS2	Q03518
P04216	Q96KR1
Q92887	O00217
Q9H2U1	Q15185
Q9GZR7	O60832
Q9UKV3	P18754
O43819	O43615
P17844	P78527
P52272	Q9Y2Q9
Q9UP38	P49841
P00387	P62081
P20671	Q71UI9
Q14978	Q8NFJ5
O00303	Q9H2W6
O15067	Q5H9R7
O43390	Q9GZT3
Q96NB2	Q9UQ90
P52272	Q5JTV8
Q96NB2	Q9P0U1
Q15654	Q99614
Q99614	Q14166
Q7Z2W7	P40222
O95801	Q9NUQ3
Q9Y5S9	A6NIH7
Q99614	P62837
Q8N5M4	Q15819
Q9ULL5	Q93009
Q99614	Q9UHD9
Q99614	P15374
Q5T4S7	P08670
Q96PZ0	Q6RFH5
Q7Z2W7	Q86VM9
Q9NW82	Q86VM9
P34931	Q96DA6
Q9NVA2	Q9P0T7
P63208	P63146
Q96L21	Q9Y487
P78318	O75351
Q9Y3B4	P11387
P21333	Q14498
P42892	P84098
P19404	Q9UHD8
P61978	Q13813
P00533	P39210
O75400	Q9UI30
P04216	O95155
P28066	P49368
P51553	P61006
Q9H444	Q8NHW5
P60709	P35749
O00264	P84103
Q9NUL7	Q13488
P05141	Q15717
P54652	P11142
P50454	Q9Y277
Q13492	Q9NR46
Q99729	O00161
P60981	P63146
Q00839	P02533
P06756	P12035
Q6ZRQ5	Q9HAU5
P62136	O60264
P21912	Q04837
P30044	P20962
P06132	P15531
P06576	P61247
P52272	Q9Y512
P52272	O94826
P33176	Q8IYW5
Q9HCE1	Q8NHW5
P57737	Q14118
O75955	Q7L5Y9
Q14566	Q15459
O43819	Q8IWZ8
Q9Y3A5	Q15637
O43143	Q99848
P20618	Q13404
P21912	Q15070
Q92616	P14866
Q9NX18	O75368
P33527	P11182
P60981	P42226
P21281	Q15942
P11586	Q15393
P30876	P21281
Q7KZN9	Q9UI09
P11021	P23396
Q14318	O96000
Q15427	P09110
O00762	P46937
P78318	O60493
Q9BWU1	O60888
Q9ULV4	O43169
P38646	Q14568
Q66GS9	Q9HCD5
Q13561	P55036
P39210	Q96EY7
Q5UIP0	Q8N5N7
Q12905	P82930
O75494	Q2TAY7
O95104	Q68D10
P31939	P61956
Q96EL3	P04216
Q15393	Q9NZR1
Q15386	Q92995
O43709	Q6RFH5
P63313	Q86U90
P14923	Q9NSE4
Q92887	Q7Z7H8
P31040	Q92616
Q00325	Q8WVM8
Q02543	P53999
Q86W42	P45880
P11021	P53990
Q8IWZ8	P68036
P04075	P09382
O43390	P62899
P78318	P25815
P78318	P23497
P78318	P42226
P78318	Q93008
Q9UBS4	Q04323
P43243	P49792
Q9BV86	O95825
P34931	Q9Y6M9
P34931	P10515
P27797	P07237
Q14318	Q9NS69
P78318	Q9BYN0
P29401	P61960
P26447	Q9Y2Z0
Q9BZF9	Q86UV5
Q15424	P24752
Q16181	Q13595
P40939	P13804
Q15393	P07437
Q9NVA2	P45880
Q92887	O95299
P68104	P35658
Q9UHD8	Q9BVK6
Q6IAA8	Q5JWF2
P39210	O00217
Q96EY1	O00159
Q92804	P07951
Q12906	Q96DV4
Q9H2P0	Q99848
Q9H2P0	Q12857
Q9H2P0	Q15050
Q14498	P62263
Q9BYG3	P62753
Q9H2P0	O00422
Q9NRL3	O94842
P54819	Q9Y4R8
Q7Z6Z7	Q9Y4Z0
P60981	Q13287
P60981	Q9Y244
Q9UMR5	Q9NP81
Q9NZD8	P49750
Q13185	O75367
P20618	O60493
P07237	Q9BVK6
P13473	P09661
P13473	Q86W42
Q14157	P63027
Q9UMR5	Q9NSE4
P05141	P62857
P26641	P09661
Q7KZN9	O75380
P12236	Q13423
P61006	Q9P2E9
P12270	Q15029
Q00839	P08648
O14802	O60264
Q08AM6	O43314
P42765	P63027
P06748	Q15942
Q9UHD8	O95425
Q96S19	Q00796
P31689	P38646
P20674	A6NK07
Q6ZUT9	Q9BV86
Q9H6A0	Q86TC9
Q15818	O60313
Q92499	Q02809
P46087	Q8NHW5
Q8TAE8	Q9Y3B7
Q9NUL7	Q9NRX2
Q96CS3	Q7Z2W9
Q96CS3	P60903
Q96KA5	Q13813
O15355	Q92783
Q9UBK7	Q66K14
Q9H009	P55072
P60981	Q6ZVM7
Q15645	Q6PGP7
P40222	Q9NUQ3
Q9C0B7	Q16763
P60981	Q9C0B0
Q96CS3	P07947
P60981	Q96K21
P62942	O75312
Q8IYI6	Q9Y4G6
Q6PD62	Q08945
P33981	P61964
Q92499	Q8ND56
Q96T58	Q7Z3B4
